experiment,k,bias2,variance,noise,mse_est
sine_1d_homo,1,0.0014162237982395754,0.04161535846894776,0.04000000000000002,0.08303158226718735
sine_1d_homo,2,0.0006332541300545772,0.020602805420000998,0.04000000000000002,0.061236059550055594
sine_1d_homo,3,0.00039362307685705946,0.01366038345739297,0.04000000000000002,0.05405400653425005
sine_1d_homo,5,0.0002665738404491222,0.008230118377899383,0.04000000000000002,0.04849669221834853
sine_1d_homo,8,0.00019727574485371854,0.005229573878419481,0.04000000000000002,0.04542684962327322
sine_1d_homo,13,0.00018761498496130786,0.0033186371844851352,0.04000000000000002,0.043506252169446466
sine_1d_homo,20,0.0003700760659437132,0.002284647052722133,0.04000000000000002,0.04265472311866587
sine_1d_homo,30,0.000897088110678282,0.001694000822997117,0.04000000000000002,0.04259108893367542
sine_1d_homo,50,0.0035090303832327886,0.0013314187384510954,0.04000000000000002,0.044840449121683904
sine_1d_homo,80,0.012081856937237909,0.0012973811512432553,0.04000000000000002,0.05337923808848119
sine_1d_homo,120,0.030425259258352263,0.0013058546234988016,0.04000000000000002,0.07173111388185108
sine_1d_homo,200,0.06374325544626756,0.0013473095748902041,0.04000000000000002,0.1050905650211578
