experiment,seed,best_k,min_mse_vs_true,mse_vs_noisy_at_best_k
linear_sum_10d_hetero_radial,2,13,0.16443285816932587,0.2986029725816263
linear_sum_10d_hetero_radial,3,13,0.13690268229462543,0.2636017453136774
linear_sum_10d_hetero_radial,4,8,0.16616818935902478,0.30692208342046867
linear_sum_10d_hetero_radial,5,8,0.1744273195852719,0.3115752597887226
linear_sum_10d_hetero_radial,6,8,0.16540318960598746,0.2976832396772111
linear_sum_10d_hetero_radial,7,8,0.17461063119836656,0.31191373510208953
linear_sum_10d_hetero_radial,8,8,0.16210291413217956,0.3020023049016154
linear_sum_10d_hetero_radial,9,8,0.15346679762862045,0.29941866763847724
linear_sum_10d_hetero_radial,10,13,0.16978855869980108,0.29370023987424315
linear_sum_10d_hetero_radial,11,13,0.16965867798151488,0.3094047411978751
linear_sum_10d_hetero_radial,12,13,0.1310163871676699,0.2705861107238327
linear_sum_10d_hetero_radial,13,13,0.14693638360454161,0.28365246930104626
linear_sum_10d_hetero_radial,14,8,0.1546108474794159,0.2912633674160302
linear_sum_10d_hetero_radial,15,8,0.17170025507767372,0.3228836935208325
linear_sum_10d_hetero_radial,16,13,0.1458310558156245,0.2725752911185329
linear_sum_10d_hetero_radial,17,8,0.17949267891230622,0.30744356070379525
linear_sum_10d_hetero_radial,18,8,0.16095781120424152,0.2979569956807059
linear_sum_10d_hetero_radial,19,8,0.17681261243398225,0.32186972503858896
linear_sum_10d_hetero_radial,20,8,0.1396850535650211,0.2905162336379447
linear_sum_10d_hetero_radial,21,8,0.18266711952484743,0.3292154587968474
linear_sum_10d_hetero_radial,22,8,0.14612032447657303,0.2822993364055049
linear_sum_10d_hetero_radial,23,8,0.15773596118396893,0.2933818103758991
linear_sum_10d_hetero_radial,24,8,0.1802381987413607,0.3111292961405925
linear_sum_10d_hetero_radial,25,13,0.16158003684955943,0.28562174263074025
linear_sum_10d_hetero_radial,26,8,0.16112027620068695,0.307356155970948
linear_sum_10d_hetero_radial,27,13,0.15638710572513584,0.2989693431351475
linear_sum_10d_hetero_radial,28,8,0.19356571021522523,0.33535536666475807
linear_sum_10d_hetero_radial,29,8,0.1603535568646186,0.2851870741248106
linear_sum_10d_hetero_radial,30,13,0.15256318422110543,0.28541376543023655
