experiment,seed,best_model,best_degree,min_mse_vs_true,mse_vs_noisy_at_best_model
product_sine_5d_homo,3,polynomial_deg_2,2,0.008319210001612586,0.03052070227310123
product_sine_5d_homo,4,polynomial_deg_2,2,0.00876019362477371,0.03155755076247951
product_sine_5d_homo,5,polynomial_deg_2,2,0.008412470484026763,0.031409918936071854
product_sine_5d_homo,6,polynomial_deg_2,2,0.008581454184066011,0.0313956807594517
product_sine_5d_homo,7,polynomial_deg_2,2,0.008686664437508615,0.03168807477601538
product_sine_5d_homo,8,polynomial_deg_2,2,0.008906263674381028,0.030063436953503407
product_sine_5d_homo,9,polynomial_deg_2,2,0.009888068571590343,0.03205605432501972
product_sine_5d_homo,10,polynomial_deg_2,2,0.009301812439981745,0.03280053329096264
product_sine_5d_homo,11,polynomial_deg_2,2,0.00843135075731679,0.02967616110631383
product_sine_5d_homo,12,polynomial_deg_2,2,0.009545541684279318,0.030909157179247415
product_sine_5d_homo,13,polynomial_deg_2,2,0.009348688478732554,0.03472193934374003
product_sine_5d_homo,14,polynomial_deg_2,2,0.008812105785778183,0.03246255882420445
product_sine_5d_homo,15,polynomial_deg_2,2,0.009574457434288667,0.03133451453623208
product_sine_5d_homo,16,polynomial_deg_2,2,0.008329541201036348,0.030722174401695865
product_sine_5d_homo,17,polynomial_deg_2,2,0.0086571167709664,0.033483508990639094
product_sine_5d_homo,18,polynomial_deg_2,2,0.009088489607693267,0.029722940917170183
product_sine_5d_homo,19,polynomial_deg_2,2,0.00879215167200797,0.03286698307069679
product_sine_5d_homo,20,polynomial_deg_2,2,0.009755423110785184,0.03186816935994445
product_sine_5d_homo,21,polynomial_deg_2,2,0.00853839480224887,0.03143976284403439
product_sine_5d_homo,22,polynomial_deg_2,2,0.008827044911690589,0.031112598326587193
product_sine_5d_homo,23,polynomial_deg_2,2,0.009187615452117633,0.03129757045338519
product_sine_5d_homo,24,polynomial_deg_2,2,0.008590588026366823,0.031008882478481575
product_sine_5d_homo,25,polynomial_deg_2,2,0.007756812679493766,0.029372082661602687
product_sine_5d_homo,26,polynomial_deg_2,2,0.009105429391977518,0.03054141041437641
product_sine_5d_homo,27,polynomial_deg_2,2,0.008249065663280859,0.03108344087162025
product_sine_5d_homo,28,polynomial_deg_2,2,0.009848236203727056,0.03219036877600499
product_sine_5d_homo,29,polynomial_deg_2,2,0.008320470257534102,0.028929854355073854
product_sine_5d_homo,30,polynomial_deg_2,2,0.008181651071452597,0.02971490708797765
linear_sum_10d_hetero_radial,1,linear,1,0.0014260205669987531,0.13281853434552857
linear_sum_10d_hetero_radial,2,linear,1,0.0018458296431660226,0.13620838729585477
linear_sum_10d_hetero_radial,3,linear,1,0.004432937743658604,0.14456918871958022
linear_sum_10d_hetero_radial,4,linear,1,0.0031515661277159448,0.1417844442062269
linear_sum_10d_hetero_radial,5,linear,1,0.003424204971904986,0.1368923493013175
linear_sum_10d_hetero_radial,6,linear,1,0.0017747383270643499,0.13214872865407856
linear_sum_10d_hetero_radial,7,linear,1,0.0016741044627469224,0.13959475499654167
linear_sum_10d_hetero_radial,8,linear,1,0.0009625965822979366,0.143273680741031
linear_sum_10d_hetero_radial,9,linear,1,0.0018268193250204905,0.13934521650210296
linear_sum_10d_hetero_radial,10,linear,1,0.0009407467210129932,0.1286643358354495
linear_sum_10d_hetero_radial,11,linear,1,0.0022320270956948003,0.13525835401890926
linear_sum_10d_hetero_radial,12,linear,1,0.0032179717000613214,0.1395929116195273
linear_sum_10d_hetero_radial,13,linear,1,0.004507873747517056,0.1325272311142664
linear_sum_10d_hetero_radial,14,linear,1,0.0022715939003633075,0.13483089136115467
linear_sum_10d_hetero_radial,15,linear,1,0.004007439730800522,0.14920717767224714
linear_sum_10d_hetero_radial,16,linear,1,0.0031381122970301698,0.1330831733129631
linear_sum_10d_hetero_radial,17,linear,1,0.002425155111442038,0.13356254013675953
linear_sum_10d_hetero_radial,18,linear,1,0.0044231958359168344,0.1391050084528277
linear_sum_10d_hetero_radial,19,linear,1,0.0011819695841240668,0.13820528258044834
linear_sum_10d_hetero_radial,20,linear,1,0.002808487402073393,0.1424486420991817
linear_sum_10d_hetero_radial,21,linear,1,0.0033684077395143364,0.13728580896896303
linear_sum_10d_hetero_radial,22,linear,1,0.0015490039529989334,0.13726065333868417
linear_sum_10d_hetero_radial,23,linear,1,0.0008190085939750202,0.13689115091227505
linear_sum_10d_hetero_radial,24,linear,1,0.0037478175425120046,0.1376559991082947
linear_sum_10d_hetero_radial,25,linear,1,0.002937382108741977,0.1266456363889545
linear_sum_10d_hetero_radial,26,linear,1,0.0018194060060170926,0.14067631633802752
linear_sum_10d_hetero_radial,27,linear,1,0.0056039993392940895,0.13962712291514587
linear_sum_10d_hetero_radial,28,linear,1,0.004552216558081902,0.13992516898926335
linear_sum_10d_hetero_radial,29,linear,1,0.000970435256202895,0.13000702935793623
linear_sum_10d_hetero_radial,30,linear,1,0.0023668128744635014,0.13152697158314913
